,group,time,s_MP,change,type,length,sum_change,area,surge_area,group.1,time.1,change.1,type.1,p_MP,precursor_buy_cap_pct_change,precursor_ask_cap_pct_change,precursor_bid_vol_pct_change,precursor_ask_vol_pct_change,length.1,sum_change.1,area.1,Cluster
2473,4947,1673389800000.0,12.65,0.0022908049,surge,4,0.007963985,0.03185594,0.03185594,4948.0,1673393200000.0,-0.0014889677,precursor,12.77,0.013849742,0.0012795787,0.0060921293,0.005887576,5.0,-0.0043796194,-0.021898096,Cluster 0
2474,4949,1673397900000.0,12.72,0.001652862,surge,1,0.001652862,0.001652862,0.001652862,4950.0,1673398700000.0,-0.0012562565,precursor,12.7,0.52411604,0.038668994,0.16390558,0.18030378,8.0,-0.021208087,-0.1696647,Cluster 0
2475,4951,1673410000000.0,12.43,0.0005632171,surge,1,0.0005632171,0.0005632171,0.0005632171,4952.0,1673412000000.0,-0.0035215367,precursor,12.42,0.039349653,0.0014054865,0.016284088,0.0053710104,1.0,-0.0035215367,-0.0035215367,Cluster 0
2476,4953,1673413400000.0,12.4,0.0028201174,surge,3,0.0073982575,0.022194773,0.022194773,4954.0,1673419800000.0,-0.00031929716,precursor,12.52,0.006947999,-0.0014065376,0.0026120904,-0.0066662016,1.0,-0.00031929716,-0.00031929716,Cluster 0
2477,4955,1673422000000.0,12.53,0.0010414739,surge,1,0.0010414739,0.0010414739,0.0010414739,4956.0,1673424900000.0,-0.005108766,precursor,12.47,-0.017228955,0.0048903665,-0.006392998,0.02034315,1.0,-0.005108766,-0.005108766,Cluster 0
2478,4957,1673426900000.0,12.47,0.0024886099,surge,3,0.005211945,0.015635835,0.015635835,4958.0,1673433700000.0,-7.955338e-05,precursor,12.53,-0.0017017587,0.0022872174,-0.0008513604,0.010260919,6.0,-0.011534412,-0.069206476,Cluster 0
2479,4959,1673445800000.0,12.35,0.0038984944,surge,2,0.010453878,0.020907756,0.020907756,4960.0,1673451500000.0,-0.0062231175,precursor,12.42,-0.0011596888,0.0009147794,0.0008226457,0.0046963287,1.0,-0.0062231175,-0.0062231175,Cluster 0
2480,4961,1673454300000.0,12.46,0.0006451587,surge,5,0.16147585,0.8073793,0.8073793,4962.0,1673469200000.0,-0.0014588102,precursor,14.51,0.021087809,0.0859281,0.011601964,0.38825488,1.0,-0.0014588102,-0.0014588102,Cluster 0
2481,4963,1673471900000.0,14.43,0.0023595656,surge,3,0.0872816,0.2618448,0.2618448,4964.0,1673481300000.0,-0.07641167,precursor,15.88,0.07112381,-0.729292,0.35920236,-0.5845728,1.0,-0.07641167,-0.07641167,Cluster 0
2482,4965,1673481300000.0,15.93,0.00069237803,surge,1,0.00069237803,0.00069237803,0.00069237803,4966.0,1673481400000.0,-0.0001244873,precursor,15.94,-0.0064002993,-0.0009234081,-0.002508866,-0.004018116,7.0,-0.005214568,-0.036501978,Cluster 0
2483,4967,1673481600000.0,15.85,0.0010728337,surge,2,0.0020852662,0.0041705323,0.0041705323,4968.0,1673481700000.0,-0.0025053513,precursor,15.86,0.010749397,0.00096994557,0.0051625986,0.0039552567,1.0,-0.0025053513,-0.0025053513,Cluster 0
2484,4969,1673481700000.0,15.9,0.004483328,surge,1,0.004483328,0.004483328,0.004483328,4970.0,1673481800000.0,-0.00037348387,precursor,15.92,0.008252575,0.0004882704,0.0027732728,0.0018794382,1.0,-0.00037348387,-0.00037348387,Cluster 0
2485,4971,1673481800000.0,15.92,0.01005705,surge,3,0.026478644,0.07943594,0.07943594,4972.0,1673482000000.0,-0.0017126529,precursor,16.34,0.013954925,0.0030586596,0.0056671663,0.011413263,1.0,-0.0017126529,-0.0017126529,Cluster 0
